序號,是否離職,年齡,性別,婚姻狀態,是否有大學學歷,是否有碩士學歷,是否有博士學歷,最高學歷學校等級,外部經歷總公司數,外部經歷總年資,集團年資,公司年資,一級主管序號,是否為主管,廣義管理幅度,狹義管理幅度,職位層級,是否為STEM人才,是否有兼職,距上次升遷時長,單位,單位層級,單位_第一層,單位_第二層,單位_第三層,個性分群,職能強項,職能弱項,職能驚喜,職能盲點,績效,是否為關鍵人才
668,1,29,女性,未婚,YES,YES,NO,其他,2,3.806392694,0.818493151,0.818493151,16,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C0000,處,03C0000,,,,,,,,4,FALSE
670,1,25,女性,未婚,YES,NO,NO,二級,0,0,0.352511416,0.352511416,409,FALSE,0,0,一般專業人員,TRUE,FALSE,,04C2100,科,04C0000,04C2000,04C2100,,,,,,,
671,1,24,女性,未婚,YES,NO,NO,一級,0,0,0.505479452,0.349771689,409,FALSE,0,0,一般專業人員,FALSE,FALSE,1,04C0200,科,04C0000,04C0200,,,,,,,5,FALSE
673,0,35,男性,未婚,YES,YES,NO,其他,3,5.046575342,5.102511416,5.019178082,663,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0500,科,04C0000,04C0500,,,,,,,5,TRUE
674,0,45,男性,已婚,YES,NO,NO,其他,2,8.799315068,5.871689498,5.871689498,519,FALSE,0,0,一般專業人員,TRUE,FALSE,,04C2100,科,04C0000,04C2000,04C2100,,,,,,,
677,1,35,男性,未婚,YES,YES,NO,其他,1,0.36347032,3.274657534,3.274657534,1545,FALSE,0,0,行政人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,保守穩定型,工作管理,敏捷力,,,4,FALSE
678,0,32,女性,未婚,YES,YES,NO,其他,0,0,7.285616438,4.349771689,1538,FALSE,0,0,資深專業人員,FALSE,FALSE,1.9,03C1000,部,03C0000,03C1000,,,促進團隊成功 學習力,敏捷力,,,5.5,TRUE
679,1,21,男性,未婚,,,,,0,0,0.191324201,0.191324201,1579,FALSE,0,0,一般專業人員,FALSE,FALSE,0.3,03C1000,部,03C0000,03C1000,,,,,,,,
680,0,32,男性,已婚,YES,NO,NO,其他,1,1.166666667,7.005479452,0.65456621,951,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,,促進團隊成功,,,,4.8,TRUE
681,0,44,男性,已婚,YES,NO,NO,其他,3,8.591552511,7.248858447,7.248858447,241,FALSE,0,0,一般專業人員,FALSE,FALSE,1.5,03C1000,部,03C0000,03C1000,,正向領導型,學習力,,,對話力,4.8,TRUE
682,0,34,女性,已婚,YES,YES,NO,其他,3,5.916666667,5.79109589,5.79109589,681,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,樂觀關係型,,,,,,
683,1,31,女性,未婚,YES,YES,NO,一級,2,0.333333333,0.226940639,0.226940639,1551,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,保守穩定型,,,,,4.6,TRUE
684,1,32,女性,未婚,YES,NO,NO,一級,2,2.333333333,5.760958904,5.760958904,1575,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,外向開放型,學習力,,,,4.2,TRUE
685,0,33,女性,未婚,NO,YES,NO,一級,1,0.651826484,7.063013699,0.038356164,1530,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,樂觀關係型,促進團隊成功,敏捷力 學習力,,,4,FALSE
687,1,22,女性,未婚,,,,,0,0,0.37716895,0.37716895,409,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,外向開放型,促進團隊成功,敏捷力,,,3,FALSE
689,1,44,女性,未婚,YES,YES,NO,其他,3,11.91666667,1.519178082,1.519178082,1536,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,正向領導型,,,,,,
690,0,43,男性,已婚,YES,YES,NO,一級,4,5.205022831,4.185844749,3.29109589,1546,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,外向開放型,,,,,,
691,0,44,男性,已婚,YES,YES,NO,一級,2,6.833333333,6.982420091,6.982420091,1571,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C1000,部,03C0000,03C1000,,樂觀關係型,,,,,4,FALSE
693,1,27,女性,未婚,YES,NO,NO,一級,1,0.482420091,3.482420091,1.430365297,1546,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
694,0,41,男性,未婚,YES,YES,YES,一級,1,1.021917808,6.957762557,6.957762557,515,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
696,1,38,男性,已婚,YES,NO,NO,其他,2,6.583333333,4.660045662,4.660045662,83,FALSE,0,0,基層/專案主管,TRUE,TRUE,,0DC1700,科,0DC0000,0DC1000,0DC1700,外向開放型,,,,,,
697,0,33,男性,未婚,YES,YES,NO,其他,1,3,3.532876712,1.266438356,851,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,保守穩定型,,學習力,,,,
699,1,32,男性,未婚,YES,YES,NO,一級,2,4.575570776,0.102511416,0.102511416,604,FALSE,0,0,資深專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,正向領導型,,,,,,
700,1,38,男性,已婚,YES,NO,NO,其他,3,10.08493151,3.210502283,3.210502283,1545,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,持續改善,,,5,TRUE
701,0,45,女性,未婚,YES,YES,NO,二級,1,8.771917808,6.829452055,5.032876712,895,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
703,0,32,男性,已婚,NO,YES,NO,一級,2,2.407305936,5.665525114,5.582191781,1577,TRUE,10,0,基層/專案主管,TRUE,FALSE,0.5,0DC1100,科,0DC0000,0DC1000,0DC1100,外向開放型,,,計劃與組織能力,,,
704,1,24,女性,未婚,YES,NO,NO,一級,0,0,0.493378995,0.493378995,1551,FALSE,0,0,資深專業人員,TRUE,FALSE,1,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
705,1,22,女性,未婚,NO,NO,NO,其他,0,0,1.333333333,1.333333333,411,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
706,1,37,女性,未婚,YES,YES,NO,其他,2,5.299315068,1.771917808,1.771917808,663,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
707,1,22,女性,未婚,,,,,0,0,0.25,0.25,409,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
708,1,20,男性,未婚,,,,,0,0,0.987899543,0.987899543,1570,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
709,1,22,男性,未婚,,,,,0,0,0.987899543,0.987899543,1570,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,保守穩定型,,,,,,
711,1,20,女性,未婚,,,,,0,0,0.180365297,0.180365297,1579,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3300,科,0AC0000,0AC3000,0AC3300,,,,,,,
712,1,23,女性,未婚,,,,,0,0,0.162785388,0.162785388,1559,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,保守穩定型,學習力,,,敏捷力,,
713,1,24,男性,未婚,,,,,0,0,0.162785388,0.162785388,396,FALSE,0,0,一般專業人員,FALSE,FALSE,1.1,02C0000,處,02C0000,,,,,促進團隊成功,,,,
715,1,32,男性,未婚,YES,YES,NO,一級,0,0,2.505479452,2.505479452,691,FALSE,0,0,資深專業人員,TRUE,FALSE,1.5,05C2000,部,05C0000,05C2000,,樂觀關係型,,,,,5,TRUE
716,1,32,女性,未婚,YES,YES,NO,二級,1,2.75,4.610730594,4.610730594,1573,FALSE,0,0,行政人員,TRUE,FALSE,,05C2000,部,05C0000,05C2000,,保守穩定型,學習力,,,,4.3,FALSE
717,1,29,女性,未婚,YES,NO,NO,一級,3,2.996118721,3.699543379,3.699543379,744,FALSE,0,0,一般專業人員,TRUE,FALSE,,05C2000,部,05C0000,05C2000,,保守穩定型,,問題分析與解決 敏捷力,,,3,FALSE
718,1,31,女性,已婚,YES,NO,NO,一級,1,6.333333333,0.52739726,0.52739726,604,FALSE,0,0,一般專業人員,TRUE,FALSE,2.9,05C2000,部,05C0000,05C2000,,保守穩定型,,對話力,學習力,,6,TRUE
719,1,29,男性,未婚,YES,NO,NO,二級,2,3.666666667,2.860730594,2.860730594,691,FALSE,0,0,一般專業人員,TRUE,FALSE,,05C2000,部,05C0000,05C2000,,,,,,,,
720,0,33,女性,未婚,YES,NO,NO,一級,1,2.915525114,6.496118721,6.496118721,830,FALSE,0,0,一般專業人員,TRUE,FALSE,,05C2000,部,05C0000,05C2000,,正向領導型,,,,,3,FALSE
721,1,27,女性,已婚,YES,NO,NO,一級,1,0.833333333,3.162785388,3.162785388,5,FALSE,0,0,一般專業人員,TRUE,TRUE,,05C2000,部,05C0000,05C2000,,正向領導型,工作管理,對話力,學習力,,4,FALSE
722,1,30,女性,未婚,YES,NO,NO,一級,0,0,0.573972603,0.573972603,409,FALSE,0,0,一般專業人員,TRUE,FALSE,,05C2000,部,05C0000,05C2000,,樂觀關係型,,對話力,,,4.8,TRUE
723,1,31,男性,未婚,YES,YES,NO,其他,3,6.979680365,2.360730594,2.357990868,1553,TRUE,34,22,中階/專案主管,TRUE,FALSE,,0DC1000,部,0DC0000,0DC1000,,,促進變革與創新 對話力,學習力 營運決策能力,,,6,TRUE
724,1,37,男性,已婚,YES,NO,NO,二級,5,9.101826484,3.563013699,3.563013699,673,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3800,科,0AC0000,0AC3000,0AC3800,保守穩定型,,,,,,
726,0,37,女性,已婚,YES,NO,NO,其他,1,1.063013699,6.449543379,2.401826484,1013,FALSE,0,0,一般專業人員,TRUE,FALSE,1.3,0AC3800,科,0AC0000,0AC3000,0AC3800,正向領導型,,,,,6,TRUE
727,1,29,女性,未婚,YES,NO,NO,一級,0,0,3.915525114,3.915525114,1575,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3800,科,0AC0000,0AC3000,0AC3800,保守穩定型,,,,,,
728,0,33,男性,已婚,YES,NO,NO,其他,3,6.210958904,4.102511416,4.019178082,1588,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3800,科,0AC0000,0AC3000,0AC3800,保守穩定型,,,,,,
729,1,28,男性,未婚,YES,YES,NO,一級,0,0,2.463242009,2.463242009,749,TRUE,22,1,中階/專案主管,TRUE,FALSE,2.5,0DC1000,部,0DC0000,0DC1000,,正向領導型,,對話力,,,,
730,1,30,女性,已婚,YES,NO,NO,一級,2,2.232420091,3.665525114,3.665525114,561,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3800,科,0AC0000,0AC3000,0AC3800,,,,,,,
731,1,31,女性,未婚,YES,NO,NO,其他,3,8.205022831,3.748858447,3.748858447,1551,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC3800,科,0AC0000,0AC3000,0AC3800,,,,,,,
732,1,22,男性,未婚,,,,,0,0,0.852511416,0.852511416,1579,FALSE,0,0,中階/專案主管,TRUE,TRUE,,0DC1000,部,0DC0000,0DC1000,,樂觀關係型,,,,,,
733,0,44,女性,未婚,YES,YES,NO,一級,4,11.07671233,6.379908676,6.379908676,567,FALSE,0,0,資深專業人員,TRUE,FALSE,0.5,0DC1100,科,0DC0000,0DC1000,0DC1100,,促進團隊成功,工作管理,學習力,,,
734,1,29,男性,未婚,YES,NO,NO,一級,0,0,0.871689498,0.871689498,744,FALSE,0,0,一般專業人員,TRUE,FALSE,0.5,0DC1100,科,0DC0000,0DC1000,0DC1100,樂觀關係型,促進團隊成功,工作管理 問題分析與解決,,,,
735,0,32,女性,已婚,YES,YES,NO,一級,1,0.955022831,6.046575342,5.629908676,951,FALSE,0,0,一般專業人員,TRUE,TRUE,,0DC1100,科,0DC0000,0DC1000,0DC1100,樂觀關係型,對話力,,,,,
736,1,30,女性,已婚,YES,YES,NO,一級,2,5.412785388,1.460502283,1.460502283,744,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,樂觀關係型,,持續改善,指導,,,
737,0,35,男性,已婚,YES,NO,NO,其他,1,1.341552511,6.374429224,2.401826484,1552,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,,,,,,3,FALSE
738,0,36,女性,未婚,YES,YES,NO,二級,4,5.036073059,6.37716895,6.37716895,83,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,保守穩定型,,學習力,工作管理,促進團隊成功,,
739,1,37,男性,未婚,YES,YES,NO,一級,3,4.724657534,5.132648402,5.132648402,681,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,外向開放型,,工作管理,,,,
740,1,22,女性,未婚,,,,,0,0,0.505479452,0.505479452,604,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,保守穩定型,,,,,,
741,1,37,女性,未婚,YES,NO,NO,其他,5,14.99269406,0.25,0.25,663,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,,,,,,,
742,0,32,女性,未婚,YES,NO,NO,其他,2,3.382648402,6.118949772,6.118949772,360,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,外向開放型,對話力,學習力,,,,
743,0,30,女性,未婚,YES,NO,NO,一級,0,0,6.352511416,6.352511416,807,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,樂觀關係型,,,,,,
744,0,45,男性,,YES,NO,NO,二級,5,16.63356164,4.008219178,3.924885845,691,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,外向開放型,敏捷力,,工作管理,,,
745,0,47,男性,已婚,YES,YES,NO,二級,5,17.98881279,4.002739726,3.919406393,744,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,樂觀關係型,促進團隊成功,敏捷力,,對話力,,
746,0,35,女性,已婚,YES,NO,NO,其他,3,5.575570776,5.832191781,5.832191781,681,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,外向開放型,,,,,,
747,1,30,女性,已婚,YES,NO,NO,一級,3,4.401826484,2.229680365,2.229680365,733,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC1700,科,0DC0000,0DC1000,0DC1700,正向領導型,,,,,,
748,1,28,女性,未婚,YES,NO,NO,其他,0,0,5.669406393,1.821232877,1532,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1100,科,0DC0000,0DC1000,0DC1100,外向開放型,,,,,,
749,0,49,男性,已婚,YES,YES,NO,一級,6,17.08812785,6.516438356,6.516438356,1553,FALSE,0,0,一般專業人員,FALSE,FALSE,2.9,01C3200,科,01C0000,01C3000,01C3200,保守穩定型,,,問題分析與解決,,4.5,FALSE
750,1,32,女性,未婚,YES,NO,NO,其他,4,6.40890411,3.866210046,3.866210046,1588,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3200,科,01C0000,01C3000,01C3200,樂觀關係型,,問題分析與解決,,,4.6,TRUE
751,1,39,女性,已婚,YES,NO,NO,其他,3,11.94840183,3.407305936,3.407305936,681,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3200,科,01C0000,01C3000,01C3200,正向領導型,,,,,3,FALSE
752,1,25,女性,未婚,YES,NO,NO,一級,0,0,2.296575342,2.296575342,1580,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3200,科,01C0000,01C3000,01C3200,保守穩定型,,,,,,
753,0,37,男性,已婚,YES,YES,NO,二級,2,1.376027397,9.838812785,9.758219178,1582,FALSE,0,0,資深專業人員,FALSE,TRUE,5.9,06C0000,處,06C0000,,,,學習力,,,促進團隊成功,5.1,TRUE
754,0,33,女性,已婚,YES,YES,NO,二級,2,1.914383562,6.063013699,6.063013699,203,FALSE,0,0,資深專業人員,FALSE,TRUE,,06C0000,處,06C0000,,,,,,指導,敏捷力,5,TRUE
755,1,27,女性,未婚,,,,,2,3.578310502,1.229680365,1.229680365,744,FALSE,0,0,資深專業人員,FALSE,TRUE,0.9,06C0000,處,06C0000,,,,,,,,4.9,TRUE
756,0,30,女性,未婚,YES,NO,NO,其他,1,0.796575342,6.143607306,6.143607306,681,FALSE,0,0,一般專業人員,FALSE,FALSE,,06C0000,處,06C0000,,,,,,,,4,FALSE
757,1,22,女性,未婚,,,,,0,0,0.341552511,0.341552511,409,FALSE,0,0,資深專業人員,FALSE,TRUE,0.1,0AC2000,部,0AC0000,0AC2000,,,,,,,5.8,TRUE
758,1,22,女性,未婚,,,,,0,0,0.344292237,0.344292237,409,FALSE,0,0,資深專業人員,FALSE,TRUE,0.9,0AC2000,部,0AC0000,0AC2000,,,,,,,5.1,TRUE
759,0,33,女性,未婚,YES,NO,NO,一級,2,6.333333333,4.082191781,3.998858447,1579,FALSE,0,0,一般專業人員,FALSE,TRUE,1.9,0AC2000,部,0AC0000,0AC2000,,,,,,,5.6,TRUE
760,0,37,男性,未婚,YES,NO,NO,其他,3,9.333333333,3.669406393,3.586073059,1588,FALSE,0,0,一般專業人員,FALSE,TRUE,,0AC2000,部,0AC0000,0AC2000,,,促進團隊成功,敏捷力,,對話力,,
761,0,38,男性,已婚,YES,NO,NO,其他,1,3.985159817,6.607990868,2.401826484,1013,FALSE,0,0,一般專業人員,FALSE,TRUE,,0AC2000,部,0AC0000,0AC2000,,,,,對話力,問題分析與解決,,
762,0,30,女性,未婚,YES,YES,NO,其他,1,0.416666667,4.304794521,4.304794521,1529,FALSE,0,0,一般專業人員,FALSE,TRUE,,0AC2000,部,0AC0000,0AC2000,,,,,,,5.6,TRUE
763,0,36,女性,未婚,YES,NO,NO,其他,3,10.06073059,4.240639269,4.240639269,194,FALSE,0,0,一般專業人員,FALSE,FALSE,1.9,01C3100,科,01C0000,01C3000,01C3100,樂觀關係型,促進團隊成功,學習力,,,3.7,FALSE
764,1,37,女性,已婚,YES,YES,NO,二級,1,6.498858447,5.024657534,5.024657534,411,FALSE,0,0,一般專業人員,FALSE,FALSE,0.9,01C3100,科,01C0000,01C3000,01C3100,,促進團隊成功,敏捷力,學習力,,4.5,FALSE
765,1,27,女性,未婚,YES,YES,NO,一級,0,0,0.401826484,0.401826484,1579,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3100,科,01C0000,01C3000,01C3100,外向開放型,,,,,5.6,TRUE
766,1,24,女性,未婚,YES,NO,NO,一級,0,0,0.549315068,0.549315068,1551,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3100,科,01C0000,01C3000,01C3100,外向開放型,,敏捷力,,,4,FALSE
767,0,29,女性,,YES,YES,NO,二級,1,1,2.941324201,2.885388128,1535,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3100,科,01C0000,01C3000,01C3100,外向開放型,,,學習力,問題分析與解決 敏捷力,3,FALSE
768,1,26,女性,未婚,YES,NO,NO,其他,0,0,2.893607306,2.893607306,1575,TRUE,4,0,高階主管,TRUE,FALSE,,05C0000,處,05C0000,,,,,,,,,
769,1,26,男性,未婚,,,,,0,0,0.005479452,0.005479452,1560,FALSE,0,0,資深專業人員,TRUE,TRUE,0.5,0DC3600,科,0DC0000,0DC3000,0DC3600,外向開放型,,指導,,,6,TRUE
770,1,29,女性,未婚,YES,YES,NO,一級,1,0.607990868,4.39086758,4.39086758,1562,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC3600,科,0DC0000,0DC3000,0DC3600,正向領導型,,,,,5,TRUE
772,1,32,男性,未婚,YES,YES,NO,其他,1,0.557534247,2.780136986,2.780136986,1580,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC3600,科,0DC0000,0DC3000,0DC3600,外向開放型,,,,,4,FALSE
773,1,23,男性,未婚,,,,,0,0,0.165525114,0.165525114,1559,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC3600,科,0DC0000,0DC3000,0DC3600,樂觀關係型,促進團隊成功,工作管理,,敏捷力,4,FALSE
774,1,24,女性,未婚,,,,,0,0,0.180365297,0.165525114,1458,FALSE,0,0,一般專業人員,TRUE,TRUE,,0DC3600,科,0DC0000,0DC3000,0DC3600,正向領導型,學習力,敏捷力 對話力,,,3,FALSE
775,1,26,男性,未婚,YES,YES,NO,一級,0,0,0.76369863,0.030136986,1574,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC3600,科,0DC0000,0DC3000,0DC3600,正向領導型,,,,,,
776,0,28,女性,,YES,YES,NO,二級,1,0.666666667,2.591552511,1.546575342,1539,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0300,科,04C0000,04C0300,,,,,,,3,FALSE
777,1,22,男性,未婚,,,,,0,0,0.385388128,0.385388128,1551,FALSE,0,0,行政人員,FALSE,FALSE,,08C0000,處,08C0000,,,保守穩定型,,,,,5,TRUE
778,0,45,女性,未婚,YES,YES,NO,一級,5,13.93584475,5.643607306,5.643607306,1523,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,保守穩定型,學習力,,,,4,FALSE
779,1,37,男性,已婚,YES,YES,YES,一級,1,2.621689498,3.368949772,3.368949772,1582,FALSE,0,0,基層/專案主管,FALSE,FALSE,6.9,08C0000,處,08C0000,,,外向開放型,,建立夥伴關係,,敏捷力,5.2,TRUE
780,1,28,男性,未婚,YES,NO,NO,其他,1,2.174885845,2.146347032,2.146347032,744,FALSE,0,0,基層/專案主管,FALSE,FALSE,,08C0000,處,08C0000,,,,指導與發展人才 學習力,對話力,,,3.3,FALSE
781,0,28,男性,已婚,YES,NO,NO,其他,5,3.792694064,1.715981735,1.632648402,744,FALSE,0,0,基層/專案主管,FALSE,FALSE,6.9,08C0000,處,08C0000,,,外向開放型,,建立夥伴關係 對話力,,,5.5,TRUE
782,0,38,男性,,YES,NO,NO,其他,2,11.28013699,3.307534247,3.224200913,1588,FALSE,0,0,基層/專案主管,FALSE,FALSE,,08C0000,處,08C0000,,,,,,建立夥伴關係,,3.4,FALSE
783,1,29,男性,未婚,NO,YES,NO,一級,3,2.761415525,1.519178082,1.519178082,749,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0300,科,04C0000,04C0300,,,,,,,,
784,1,30,男性,未婚,YES,NO,NO,其他,2,3.471461187,2.755479452,2.755479452,1580,FALSE,0,0,資深專業人員,FALSE,FALSE,2.9,08C0000,處,08C0000,,,保守穩定型,促進團隊成功,,,,4.5,FALSE
785,0,34,男性,已婚,YES,NO,NO,其他,3,6.833333333,3.307534247,3.224200913,1588,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0300,科,04C0000,04C0300,,,,,,,,
786,0,34,女性,未婚,YES,YES,NO,二級,1,4.688584475,5.543835616,5.543835616,1585,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0300,科,04C0000,04C0300,,,,,,,,
787,1,35,女性,已婚,YES,YES,NO,一級,2,2.802054795,6.793835616,6.793835616,1577,FALSE,0,0,一般專業人員,FALSE,FALSE,2.5,08C0000,處,08C0000,,,,,,,,,
789,1,37,女性,已婚,YES,YES,NO,其他,2,8.015296804,4.565753425,4.565753425,203,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,,,,,,,
790,0,49,男性,已婚,YES,YES,NO,一級,4,14.01575342,5.493378995,5.493378995,749,FALSE,0,0,基層/專案主管,FALSE,FALSE,0.9,08C0000,處,08C0000,,,保守穩定型,,,,計劃與組織能力 敏捷力,6,TRUE
792,1,36,女性,未婚,YES,YES,NO,二級,5,13.18242009,1.374429224,1.374429224,681,FALSE,0,0,一般專業人員,FALSE,FALSE,2.3,08C0000,處,08C0000,,,,,,,,,
793,1,22,女性,未婚,,,,,0,0,0.455022831,0.455022831,409,FALSE,0,0,資深專業人員,FALSE,FALSE,1.9,08C0000,處,08C0000,,,外向開放型,,計劃與組織能力,,,4.7,TRUE
794,1,39,男性,已婚,YES,YES,NO,其他,4,6.946118721,3.79109589,3.79109589,83,FALSE,0,0,資深專業人員,FALSE,FALSE,3.9,08C0000,處,08C0000,,,保守穩定型,,,,,3.2,FALSE
795,0,41,女性,,YES,YES,NO,一級,1,0.855251142,5.449543379,4.407305936,233,FALSE,0,0,資深專業人員,FALSE,FALSE,1,08C0000,處,08C0000,,,,,,,,4.3,FALSE
796,1,24,女性,未婚,,,,,0,0,0.360730594,0.360730594,409,TRUE,1,1,基層/專案主管,FALSE,FALSE,1.9,08C0000,處,08C0000,,,保守穩定型,,對話力,,,6,TRUE
797,1,29,女性,未婚,YES,YES,NO,二級,3,5.728538813,1.586073059,1.586073059,1545,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,,,,,,,
799,1,28,男性,未婚,YES,YES,NO,其他,0,0,3.573972603,3.573972603,1580,FALSE,0,0,資深專業人員,FALSE,FALSE,1.9,08C0000,處,08C0000,,,外向開放型,敏捷力 學習力,對話力,,,5.5,TRUE
800,1,22,女性,未婚,,,,,0,0,2.785616438,2.785616438,1532,FALSE,0,0,資深專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,樂觀關係型,,,,,4,FALSE
801,1,33,女性,已婚,YES,YES,NO,二級,1,5.374429224,2.399086758,2.399086758,1556,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,保守穩定型,對話力 學習力,問題分析與解決,,,3.6,FALSE
802,1,32,男性,未婚,YES,YES,NO,一級,3,6.246118721,0.27739726,0.27739726,5,FALSE,0,0,一般專業人員,FALSE,FALSE,1.9,08C0000,處,08C0000,,,外向開放型,促進團隊成功,工作管理 問題分析與解決,,,5.8,TRUE
803,1,36,男性,未婚,YES,YES,NO,其他,4,5.341552511,3.433105023,3.433105023,1458,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,外向開放型,學習力,,敏捷力,,4,FALSE
804,0,33,女性,未婚,YES,NO,NO,一級,3,2.288356164,5.274657534,5.274657534,830,FALSE,0,0,資深專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,保守穩定型,計劃與組織能力,持續改善,,,5,TRUE
805,0,33,女性,未婚,NO,YES,NO,其他,1,1.452283105,5.274657534,5.274657534,409,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,外向開放型,,對話力,促進團隊成功,,4.6,TRUE
806,1,27,女性,未婚,YES,YES,NO,一級,0,0,0.455022831,0.455022831,1560,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,正向領導型,工作管理,,學習力,,5,TRUE
807,0,42,男性,未婚,YES,NO,NO,一級,2,10.60958904,5.243378995,5.243378995,778,FALSE,0,0,一般專業人員,TRUE,TRUE,,0DC0100,科,0DC0000,0DC0100,,保守穩定型,對話力,,,,3.8,FALSE
